"","society_id","society_name","society_xd_id","language_glottocode","language_name","language_family","variable_id","code","code_label","focal_year","sub_case","comment"
"219","Ac34","Luapula","xd60","luun1238","Luunda","Atlantic-Congo","EA082",4,"Conical",1940,"",""
"220","Ac36","Tumbuka","xd62","tumb1250","Tumbuka","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"221","Ac37","Kunda","xd63","kund1255","Chikunda","Atlantic-Congo","EA082",4,"Conical",1950,"",""
"222","Ac38","Nyanja","xd64","nucl1395","Nuclear Nyanja","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"223","Ac39","Nyasa","xd65","mwer1247","Mwera (Nyasa)","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"224","Ac41","Makonde","xd68","mako1251","Makonde","Atlantic-Congo","EA082",4,"Conical",1900,"",""
"225","Ac42","Makua","xd69","makh1264","Makhuwa","Atlantic-Congo","EA082",4,"Conical",1900,"",""
"226","Ac5","Lamba","xd71","lamb1271","Lamba","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"227","Ac7","Yao","xd73","yaoo1241","Yao","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"228","Ac9","Ngoni","xd75","ngon1269","Ngoni","Atlantic-Congo","EA082",4,"Conical",1940,"with special reference to the Mpezeni group of Fort Jameson",""
"229","Ad10","Shambaa","xd77","sham1280","Shambala","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"230","Ad12","Gusii","xd79","gusi1247","Gusii","Atlantic-Congo","EA082",4,"Conical",1940,"",""
"231","Ad15","Iwa","xd82","nyam1275","Nyamwanga","Atlantic-Congo","EA082",4,"Conical",1900,"",""
"232","Ad16","Ngonde","xd83","ngon1268","Ngonde","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"233","Ad17","Safwa","xd84","safw1238","Safwa","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"234","Ad18","Bende","xd85","bend1258","Bende","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"235","Ad20","Nyamwezi","xd88","nyam1276","Nyamwezi","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"236","Ad21","Pimbwe","xd89","pimb1238","Pimbwe","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"237","Ad22","Sukuma","xd90","suku1261","Sukuma","Atlantic-Congo","EA082",4,"Conical",1950,"",""
"238","Ad27","Kwere","xd95","kwer1261","Kwere","Atlantic-Congo","EA082",4,"Conical",1880,"",""
"239","Ad28","Zigula","xd96","zigu1242","Zigula","Atlantic-Congo","EA082",4,"Conical",1880,"",""
"240","Ad3","Chagga","xd98","moch1256","Mochi","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"241","Ad34","Kamba","xd103","kamb1297","Kamba (Kenya)","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"242","Ad35","Meru","xd104","kiku1240","Kikuyu","Atlantic-Congo","EA082",4,"Conical",1940,"To be distinguished from the tribe of the same name on the southeast slope f Mt. Mero, who are a branch of the Chagga",""
"243","Ad37","Teita","xd106","tait1250","Taita","Atlantic-Congo","EA082",4,"Conical",1940,"",""
"244","Ad39","Sonjo","xd108","temi1247","Temi","Atlantic-Congo","EA082",4,"Conical",1950,"",""
"245","Ad40","Tiriki","xd110","idak1243","Idakho-Isukha-Tiriki","Atlantic-Congo","EA082",4,"Conical",1950,"",""
"246","Ad41","Vugusu","xd111","buku1249","Bukusu","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"247","Ad43","Kerewe","xd113","kere1283","Kerewe","Atlantic-Congo","EA082",4,"Conical",1900,"",""
"248","Ad46","Soga","xd116","soga1242","Soga","Atlantic-Congo","EA082",4,"Conical",1950,"",""
"249","Ad51","Ngulu","xd122","ngul1246","Ngulu","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"250","Ad6","Nyakyusa","xd123","nyak1261","Nyakyusa","Atlantic-Congo","EA082",4,"Conical",1930,"Age villages of Mwaya and Masoko",""
"251","Ad9","Gisu","xd126","masa1299","Masaaba","Atlantic-Congo","EA082",4,"Conical",1900,"",""
"252","Ae15","Hunde","xd133","hund1239","Hunde","Atlantic-Congo","EA082",4,"Conical",1940,"",""
"253","Ae18","Songye","xd136","song1303","Songe","Atlantic-Congo","EA082",4,"Conical",1900,"",""
"254","Ae5","Bamileke","xd171","fefe1239","Fe'fe'","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"255","Ae58","Tikar","xd180","tige1238","Tige","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"256","Ae59","Widikum","xd181","meta1238","Meta'","Atlantic-Congo","EA082",4,"Conical",1950,"with special reference to the Ngie subtribe",""
"257","Ae7","Baboa","xd183","bwaa1238","Bwa","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"258","Af11","Toma","xd188","toma1245","Toma","Mande","EA082",4,"Conical",1920,"",""
"259","Af13","Ebira","xd190","ebir1243","Ebira","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"260","Af14","Sherbro","xd191","sher1258","Sherbro","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"261","Af15","Kpelle","xd192","libe1247","Liberia Kpelle","Mande","EA082",4,"Conical",1920,"",""
"262","Af17","Boki","xd194","boky1238","Bokyi","Atlantic-Congo","EA082",4,"Conical",1900,"",""
"263","Af2","Kissi","xd197","nort2765","Northern Kissi","Atlantic-Congo","EA082",4,"Conical",1950,"",""
"264","Af28","Gbagyi","xd206","gbar1246","Gbari","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"265","Af29","Idoma","xd207","idom1241","Idoma","Atlantic-Congo","EA082",4,"Conical",1950,"",""
"266","Af30","Igala","xd209","igal1242","Igala","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"267","Af31","Koro","xd210","ashe1269","Ashe","Atlantic-Congo","EA082",4,"Conical",1960,"with special reference to the Lafia",""
"268","Af47","Krahn","xd227","west2488","Western Krahn","Atlantic-Congo","EA082",4,"Conical",1940,"",""
"269","Af48","Kru","xd228","klao1243","Klao","Atlantic-Congo","EA082",4,"Conical",1850,"",""
"270","Af5","Mende","xd230","mend1266","Mende (Sierra Leone)","Mande","EA082",4,"Conical",1930,"",""
"271","Af50","Dan","xd231","gwee1242","Gweetaawu","Mande","EA082",4,"Conical",1920,"",""
"272","Af51","Gagu","xd232","gagu1242","Gban","Mande","EA082",4,"Conical",1920,"",""
"273","Af53","Tura","xd234","tour1242","Toura (Côte d'Ivoire)","Mande","EA082",4,"Conical",1950,"",""
"274","Af54","Gbande","xd235","band1352","Bandi","Mande","EA082",4,"Conical",1930,"",""
"275","Af56","Ngere","xd237","dann1241","Dan","Mande","EA082",4,"Conical",1930,"with special reference to the Gio of the Ivory Coast",""
"276","Af57","Temne","xd238","timn1235","Timne","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"277","Af58","Vai","xd239","vaii1241","Vai","Mande","EA082",4,"Conical",1900,"",""
"278","Af8","Nupe","xd242","nupe1254","Nupe-Nupe-Tako","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"279","Ag10","Konkomba","xd245","konk1269","Konkomba","Atlantic-Congo","EA082",4,"Conical",1940,"",""
"280","Ag12","Nankanse","xd247","nank1249","Nankana","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"281","Ag14","Baga","xd249","mbul1258","Mbulungish","Atlantic-Congo","EA082",4,"Conical",1950,"",""
"282","Ag15","Balanta","xd250","bala1301","Balanta-Kentohe","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"283","Ag16","Banyun","xd251","bain1259","Bainounk-Gujaher","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"284","Ag17","Biafada","xd252","biaf1240","Biafada","Atlantic-Congo","EA082",4,"Conical",1940,"",""
"285","Ag18","Bijogo","xd253","bidy1244","Kangaki-Kagbaaga-Kajoko Bidyogo","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"286","Ag2","Mossi (Yatenga)","xd255","moss1236","Mossi","Atlantic-Congo","EA082",4,"Conical",1950,"with special reference to Massi (Moshi) of Yatenga; (for those of Ouagadougou, see Ag47)",""
"287","Ag20","Papel","xd256","pape1239","Papel","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"288","Ag21","Bassari","xd257","bass1258","Bassari-Tanda","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"289","Ag22","Serer","xd258","sere1260","Sereer","Atlantic-Congo","EA082",4,"Conical",1920,"with special reference to those of Sine",""
"290","Ag23","Kasonke","xd259","xaas1235","Xaasongaxango","Mande","EA082",4,"Conical",1910,"",""
"291","Ag24","Koranko","xd260","kura1250","Kuranko","Mande","EA082",4,"Conical",1910,"",""
"292","Ag26","Susu","xd262","susu1250","Susu","Mande","EA082",4,"Conical",1930,"",""
"293","Ag32","Senufo","xd269","ceba1235","Cebaara Senoufo","Atlantic-Congo","EA082",4,"Conical",1900,"",""
"294","Ag35","Kulango","xd272","boun1243","Bouna Kulango","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"295","Ag4","Tallensi","xd277","taln1239","Talni","Atlantic-Congo","EA082",4,"Conical",1930,"Tallensi Tribe",""
"296","Ag41","Kusasi","xd279","kusa1250","Kusaal","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"297","Ag44","Dagomba","xd282","dagb1246","Dagbani","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"298","Ag45","Gurma","xd283","gour1243","Gourmanchéma","Atlantic-Congo","EA082",4,"Conical",1930,"with special reference to those in the Diapaga region",""
"299","Ag46","Manprusi","xd284","mamp1244","Mampruli","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"300","Ag47","Mossi (Ouagadougou)","xd285","moss1236","Mossi","Atlantic-Congo","EA082",4,"Conical",1900,"with special reference to those of Ouagadougou (see Ag2 for those of Yatenga)",""
"301","Ag48","Basari","xd286","ntch1242","Ntcham","Atlantic-Congo","EA082",4,"Conical",1890,"",""
"302","Ag49","Kabre","xd287","kabi1261","Kabiyé","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"303","Ag50","Moba","xd289","moba1244","Moba","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"304","Ag51","Somba","xd290","dita1238","Ditammari","Atlantic-Congo","EA082",4,"Conical",1940,"",""
"305","Ag52","Tem","xd291","temm1241","Tem","Atlantic-Congo","EA082",4,"Conical",1950,"",""
"306","Ag53","Bisa","xd292","biss1248","Bissa","Mande","EA082",4,"Conical",1960,"with special reference to those of Garango",""
"307","Ag6","Futajalonke","xd294","pula1262","Pular","Atlantic-Congo","EA082",4,"Conical",1890,"",""
"308","Ag8","Coniagui","xd296","wame1240","Wamey","Atlantic-Congo","EA082",4,"Conical",1910,"with special reference to the Coniagui",""
"309","Ag9","Malinke","xd297","kita1249","Kita Maninkakan","Mande","EA082",4,"Conical",1930,"",""
"310","Ah1","Katab","xd298","kata1265","Katab","Atlantic-Congo","EA082",4,"Conical",1930,"Zaria Province",""
"311","Ah10","Chawai","xd299","atsa1241","Atsam","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"312","Ah11","Basa","xd300","basa1282","Basa (Nigeria)","Atlantic-Congo","EA082",4,"Conical",1950,"",""
"313","Ah12","Basakomo","xd301","basa1282","Basa (Nigeria)","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"314","Ah13","Dakakari","xd302","clel1238","C'lela","Atlantic-Congo","EA082",4,"Conical",1930,"with special reference to the Liliwa",""
"315","Ah14","Kamuku","xd303","cind1241","Yara","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"316","Ah15","Reshe","xd304","resh1242","Reshe","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"317","Ah17","Birom","xd306","bero1242","Berom","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"318","Ah19","Adara","xd308","kada1284","Kadara","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"319","Ah2","Jukun","xd309","juku1254","Jukun Takum","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"320","Ah20","Kagoro","xd310","kago1246","Kagoro (Nigeria)","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"321","Ah21","Kurama","xd311","kura1249","Kurama","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"322","Ah22","Yergum","xd312","taro1263","Tarok","Atlantic-Congo","EA082",4,"Conical",1900,"",""
"323","Ah23","Jibu","xd313","jibu1239","Jibu","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"324","Ah24","Kentu","xd314","etky1238","Etkywan","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"325","Ah25","Tigon","xd315","tigo1236","Tigon Mbembe","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"326","Ah26","Ndoro","xd316","ndoo1241","Ndoola","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"327","Ah28","Chamba","xd318","samb1305","Samba Leko","Atlantic-Congo","EA082",4,"Conical",1920,"with special reference to the Lekon subtribe",""
"328","Ah29","Daka","xd319","samb1311","Samba Daka","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"329","Ah3","Tiv","xd320","tivv1240","Tiv","Atlantic-Congo","EA082",4,"Conical",1920,"Tar of Benue Province",""
"330","Ah30","Longuda","xd321","long1389","Longuda","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"331","Ah31","Mumuye","xd322","nucl1240","Mumuye","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"332","Ah32","Vere","xd323","momj1237","Mom Jango","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"333","Ah33","Yungur","xd324","bena1260","Bena (Nigeria)","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"334","Ah34","Bata","xd325","bata1314","Bata","Afro-Asiatic","EA082",4,"Conical",1920,"with special reference to the Malabu",""
"335","Ah35","Bura","xd326","bura1292","Bura-Pabir","Afro-Asiatic","EA082",4,"Conical",1920,"",""
"336","Ah36","Gude","xd327","gude1246","Gude","Afro-Asiatic","EA082",4,"Conical",1920,"",""
"337","Ah37","Hwana","xd328","hwan1240","Hwana","Afro-Asiatic","EA082",4,"Conical",1920,"",""
"338","Ah38","Kapsiki","xd329","psik1239","Psikye","Afro-Asiatic","EA082",4,"Conical",1930,"",""
"339","Ah39","Podokwo","xd330","park1239","Parkwa","Afro-Asiatic","EA082",4,"Conical",1950,"",""
"340","Ah4","Mambila","xd331","came1252","Donga Mambila","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"341","Ah5","Margi","xd332","marg1265","Marghi Central","Afro-Asiatic","EA082",4,"Conical",1930,"",""
"342","Ah6","Gure","xd333","gbir1241","Gbiri-Niragu","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"343","Ah7","Mafa","xd334","mafa1239","Mafa","Afro-Asiatic","EA082",4,"Conical",1940,"",""
"344","Ah8","Bafute","xd335","vute1244","Vute","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"345","Ai1","Banda","xd337","west2458","West Central Banda","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"346","Ai10","Otoro","xd338","otor1240","Otoro","Heibanic","EA082",4,"Conical",1940,"Nuba Hills",""
"347","Ai12","Fali","xd340","sout2782","South Fali","Atlantic-Congo","EA082",4,"Conical",1950,"",""
"348","Ai13","Laka","xd341","laka1254","Laka (Chad)","Central Sudanic","EA082",4,"Conical",1920,"",""
"349","Ai14","Mbum","xd342","mbum1254","Mbum","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"350","Ai15","Mundang","xd343","mund1325","Mundang","Atlantic-Congo","EA082",4,"Conical",1900,"",""
"351","Ai16","Namshi","xd344","doya1240","Doyayo","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"352","Ai18","Kotoko","xd346","lagw1237","Lagwan","Afro-Asiatic","EA082",4,"Conical",1880,"",""
"353","Ai2","Nyaro","xd348","kooo1244","Ko","Heibanic","EA082",4,"Conical",1940,"",""
"354","Ai20","Tupuri","xd349","tupu1244","Tupuri","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"355","Ai21","Bagirmi","xd350","bagi1246","Bagirmi","Central Sudanic","EA082",4,"Conical",1880,"",""
"356","Ai22","Sara","xd351","sarr1246","Sar","Central Sudanic","EA082",4,"Conical",1890,"",""
"357","Ai25","Mbandja","xd354","mban1263","Mbandja","Atlantic-Congo","EA082",4,"Conical",1950,"",""
"358","Ai26","Ngbandi","xd355","nort2774","Northern Ngbandi","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"359","Ai27","Abarambo","xd356","bara1361","Barambu","Atlantic-Congo","EA082",4,"Conical",1890,"",""
"360","Ai28","Popoi","xd357","popo1291","Popoi","Central Sudanic","EA082",4,"Conical",1910,"",""
"361","Ai3","Azande","xd359","zand1248","Zande","Atlantic-Congo","EA082",4,"Conical",1920,"",""
"362","Ai30","Lese","xd360","lese1243","Lese","Central Sudanic","EA082",4,"Conical",1920,"",""
"363","Ai31","Logo","xd361","logo1259","Logo","Central Sudanic","EA082",4,"Conical",1920,"",""
"364","Ai32","Lugbara","xd362","lugb1240","Lugbara","Central Sudanic","EA082",4,"Conical",1920,"",""
"365","Ai33","Madi","xd363","madi1260","Ma'di","Central Sudanic","EA082",4,"Conical",1940,"",""
"366","Ai34","Moru","xd364","moru1253","Moru","Central Sudanic","EA082",4,"Conical",1880,"",""
"367","Ai35","Bongo","xd365","bong1285","Bongo","Central Sudanic","EA082",4,"Conical",1870,"",""
"368","Ai36","Jur","xd366","luok1236","Luo (Kenya and Tanzania)","Nilotic","EA082",4,"Conical",1920,"",""
"369","Ai37","Koalib","xd367","koal1240","Koalib-Rere","Heibanic","EA082",4,"Conical",1940,"",""
"370","Ai38","Korongo","xd368","kron1241","Krongo","Kadugli-Krongo","EA082",4,"Conical",1930,"",""
"371","Ai39","Mesakin","xd369","ngil1242","Ngile","Narrow Talodi","EA082",4,"Conical",1940,"",""
"372","Ai40","Moro","xd371","moro1285","Moro","Heibanic","EA082",4,"Conical",1940,"",""
"373","Ai41","Tira","xd372","tira1254","Tira","Heibanic","EA082",4,"Conical",1930,"",""
"374","Ai42","Tullishi","xd373","tuli1249","Tulishi","Kadugli-Krongo","EA082",4,"Conical",1940,"",""
"375","Ai43","Nyimang","xd374","amas1236","Ama (Sudan)","Nyimang","EA082",4,"Conical",1930,"",""
"376","Ai44","Anuak","xd375","anua1242","Anuak","Nilotic","EA082",4,"Conical",1920,"",""
"377","Ai45","Meban","xd376","maba1273","Mabaan","Nilotic","EA082",4,"Conical",1930,"",""
"378","Ai46","Koma","xd377","komo1258","Komo (Sudan)","Koman","EA082",4,"Conical",1930,"",""
"379","Ai5","Mamvu","xd379","mamv1243","Mamvu","Central Sudanic","EA082",4,"Conical",1920,"",""
"380","Ai6","Shilluk","xd380","shil1265","Shilluk","Nilotic","EA082",4,"Conical",1900,"Shilluk Kingdom",""
"381","Ai7","Gbaya","xd381","nort2775","Northwest Gbaya","Atlantic-Congo","EA082",4,"Conical",1910,"",""
"382","Ai8","Dilling","xd382","dill1242","Dilling","Nubian","EA082",4,"Conical",1930,"",""
"383","Ai9","Masa","xd383","masa1322","Masana","Afro-Asiatic","EA082",4,"Conical",1910,"Around Yagoua in Cameroon",""
"384","Aj11","Dinka","xd386","sout2832","Southwestern Dinka","Nilotic","EA082",4,"Conical",1900,"",""
"385","Aj12","Lotuko","xd387","otuh1238","Otuho","Nilotic","EA082",4,"Conical",1920,"",""
"386","Aj13","Pojulu","xd388","poju1239","Pöjulu","Nilotic","EA082",4,"Conical",1930,"",""
"387","Aj14","Kakwa","xd389","kakw1240","Kakwa","Nilotic","EA082",4,"Conical",1931,"",""
"388","Aj16","Mondari","xd391","mand1425","Mandari","Nilotic","EA082",4,"Conical",1930,"with special reference to the Riverain Mondari",""
"389","Aj17","Alur","xd392","alur1250","Alur","Nilotic","EA082",4,"Conical",1890,"",""
"390","Aj19","Didinga","xd394","didi1258","Didinga","Surmic","EA082",4,"Conical",1920,"",""
"391","Aj21","Jie","xd397","jiee1239","Jie","Nilotic","EA082",4,"Conical",1930,"",""
"392","Aj25","Keyu","xd401","keiy1238","Keiyo","Nilotic","EA082",4,"Conical",1920,"",""
"393","Aj26","Hill Suk","xd402","west2492","West Pokot","Nilotic","EA082",4,"Conical",1910,"",""
"394","Aj3","Nuer","xd406","nuer1246","Nuer","Nilotic","EA082",4,"Conical",1930,"",""
"395","Aj6","Luo","xd411","luok1236","Luo (Kenya and Tanzania)","Nilotic","EA082",4,"Conical",1940,"",""
"396","Aj7","Nandi","xd412","nand1266","Nandi","Nilotic","EA082",4,"Conical",1910,"",""
"397","Aj8","Bari","xd413","ligo1238","Ligo","Nilotic","EA082",4,"Conical",1920,"",""
"398","Aj9","Kipsigis","xd414","kips1239","Kipsigis","Nilotic","EA082",4,"Conical",1920,"",""
"399","Ca1","Konso","xd415","kons1243","Konso","Afro-Asiatic","EA082",4,"Conical",1930,"Town of Buso",""
"400","Ca12","Gibe","xd418","west2721","West Central Oromo","Afro-Asiatic","EA082",4,"Conical",1880,"",""
"401","Ca13","Macha","xd419","west2721","West Central Oromo","Afro-Asiatic","EA082",4,"Conical",1950,"with special reference to the eastern Macha",""
"402","Ca14","Burji","xd420","burj1242","Burji","Afro-Asiatic","EA082",4,"Conical",1950,"",""
"403","Ca15","Darasa","xd421","gede1246","Gedeo","Afro-Asiatic","EA082",4,"Conical",1930,"",""
"404","Ca17","Tsamai","xd423","tsam1247","Tsamai","Afro-Asiatic","EA082",4,"Conical",1950,"",""
"405","Ca19","Banna","xd425","hame1242","Hamer-Banna","South Omotic","EA082",4,"Conical",1950,"",""
"406","Ca21","Hamar","xd428","hame1242","Hamer-Banna","South Omotic","EA082",4,"Conical",1950,"",""
"407","Ca22","Male","xd429","male1284","Male (Ethiopia)","Ta-Ne-Omotic","EA082",4,"Conical",1950,"",""
"408","Ca23","Bako","xd430","aari1239","Aari","South Omotic","EA082",4,"Conical",1950,"",""
"409","Ca24","Dime","xd431","dime1235","Dime","South Omotic","EA082",4,"Conical",1950,"",""
"410","Ca25","Shangama","xd432","aari1239","Aari","South Omotic","EA082",4,"Conical",1950,"",""
"411","Ca26","Ubamer","xd433","aari1239","Aari","South Omotic","EA082",4,"Conical",1950,"",""
"412","Ca27","Anfillo","xd434","anfi1235","Anfillo","Ta-Ne-Omotic","EA082",4,"Conical",1930,"",""
"413","Ca28","Basketo","xd435","bask1236","Basketo","Ta-Ne-Omotic","EA082",4,"Conical",1950,"",""
"414","Ca29","Yem","xd436","toba1264","Toba (Ethiopia)","Ta-Ne-Omotic","EA082",4,"Conical",1920,"",""
"415","Ca3","Tigrinya","xd437","tigr1271","Tigrinya","Afro-Asiatic","EA082",4,"Conical",1950,"",""
"416","Ca30","Kafa","xd438","kafa1242","Kafa","Ta-Ne-Omotic","EA082",4,"Conical",1890,"Kafa Kingdom",""
"417","Ca31","Beta Israel","xd439","qima1242","Qimant","Afro-Asiatic","EA082",4,"Conical",1860,"",""
"418","Ca39","Jimma","xd447","west2721","West Central Oromo","Afro-Asiatic","EA082",4,"Conical",1930,"",""
"419","Ca4","Iraqw","xd448","iraq1241","Iraqw","Afro-Asiatic","EA082",4,"Conical",1950,"",""
"420","Ca42","Shako","xd451","shek1245","Sheko","Dizoid","EA082",4,"Conical",1950,"",""
"421","Ca5","Bisharin","xd453","bish1251","Bisharin","Afro-Asiatic","EA082",4,"Conical",1930,"",""
"422","Ca7","Amhara","xd455","amha1245","Amharic","Afro-Asiatic","EA082",4,"Conical",1950,"Gondar district",""
"423","Ca8","Gurage","xd456","seba1251","Sebat Bet Gurage","Afro-Asiatic","EA082",4,"Conical",1940,"",""
"424","Cb1","Maguzawa","xd458","kano1249","Kano","Afro-Asiatic","EA082",4,"Conical",1940,"",""
"425","Cb10","Karekare","xd459","kare1348","Karekare","Afro-Asiatic","EA082",4,"Conical",1920,"",""
"426","Cb17","Fur","xd466","furr1244","Fur","Furan","EA082",4,"Conical",1880,"Jebel Marra",""
"427","Cb19","Kanuri","xd468","cent2050","Central Kanuri","Saharan","EA082",4,"Conical",1870,"",""
"428","Cb2","Wolof","xd469","nucl1347","Wolof","Atlantic-Congo","EA082",4,"Conical",1950,"Upper and lower Salum in Gambia",""
"429","Cb20","Zerma","xd470","zarm1239","Zarma-Kaado","Songhay","EA082",4,"Conical",1920,"",""
"430","Cb23","Tukulor","xd473","pula1263","Pulaar","Atlantic-Congo","EA082",4,"Conical",1930,"",""
"431","Cb25","Tazarawa","xd475","haus1257","Hausa","Afro-Asiatic","EA082",4,"Conical",1930,"",""
"432","Cb26","Zazzagawa Hausa","xd476","araw1280","Arawa","Afro-Asiatic","EA082",4,"Conical",1950,"Zazzagawa of Zaria",""
"433","Cb27","Bachama","xd477","baca1246","Bacama","Afro-Asiatic","EA082",4,"Conical",1920,"",""
"434","Cb28","Dera","xd478","dera1248","Dera (Nigeria)","Afro-Asiatic","EA082",4,"Conical",1920,"",""
"435","Cb29","Ngizim","xd479","ngiz1242","Ngizim","Afro-Asiatic","EA082",4,"Conical",1920,"",""
"436","Cb6","Tera","xd483","tera1251","Tera","Afro-Asiatic","EA082",4,"Conical",1920,"",""
"437","Cb7","Bolewa","xd484","nucl1695","Bole","Afro-Asiatic","EA082",4,"Conical",1920,"",""
"438","Cb9","Hausa Kanawa","xd486","kano1249","Kano","Afro-Asiatic","EA082",4,"Conical",1940,"Hausa, with special reference to the Kanawa",""
"439","Cc14","Daza","xd492","daza1242","Dazaga","Saharan","EA082",4,"Conical",1880,"",""
"440","Ci12","Abkhaz","xd577","abkh1244","Abkhazian","Abkhaz-Adyge","EA082",4,"Conical",1880,"Abkhaz Tribe",""
"441","Eb3","Khalka","xd611","halh1238","Halh Mongolian","Mongolic","EA082",4,"Conical",1940,"Narobanchin Territory",""
"442","Eb6","Buryat","xd614","russ1264","Russia Buriat","Mongolic","EA082",4,"Conical",1900,"with special reference to those southeast of Lake Baikal",""
"443","Ec10","Ob Ostyak","xd618","khan1273","Kazym-Berezover-Suryskarer Khanty","Uralic","EA082",4,"Conical",1880,"with special reference to those on the Ob River",""
"444","Ec11","Selkup","xd619","selk1253","Selkup","Uralic","EA082",4,"Conical",1900,"",""
"445","Ec3","Chukchi","xd631","chuk1273","Chukchi","Chukotko-Kamchatkan","EA082",4,"Conical",1900,"Reindeer Division",""
"446","Ec4","Yurak-Samoyeds","xd632","nene1249","Tundra Nenets","Uralic","EA082",4,"Conical",1900,"Yurak Tribe",""
"447","Ec6","Yukaghir","xd634","nort2745","Northern Yukaghir","Yukaghir","EA082",4,"Conical",1850,"Upper Kolyma River",""
"448","Ec9","Nanai","xd637","nana1257","Nanai","Tungusic","EA082",4,"Conical",1920,"",""
"449","Eg1","Chenchu","xd672","chen1255","Chenchu","Dravidian","EA082",4,"Conical",1940,"with special reference to the forest group",""
"450","Eh9","Antaisaka","xd695","tesa1236","Tesaka Malagasy","Austronesian","EA082",4,"Conical",1930,"",""
"451","Ie17","Siane","xd793","sian1257","Siane","Nuclear Trans New Guinea","EA082",4,"Conical",1940,"",""
"452","Ie31","Fore","xd809","fore1270","Fore","Nuclear Trans New Guinea","EA082",4,"Conical",1950,"",""
"453","Ih5","Ajie","xd871","ajie1238","Ajië","Austronesian","EA082",4,"Conical",1860,"Neje Chiefdom",""
"454","Na11","Sivokakmeit","xd1028","cent2128","Central Siberian Yupik","Eskimo-Aleut","EA082",4,"Conical",1920,"",""
"455","Na15","Tlicho","xd1032","dogr1252","Dogrib","Athabaskan-Eyak-Tlingit","EA082",4,"Conical",1860,"",""
"456","Na16","Délįne","xd1033","nort2942","North Slavey","Athabaskan-Eyak-Tlingit","EA082",4,"Conical",1860,"",""
"457","Na17","DeneTha","xd1034","sout2959","South Slavey","Athabaskan-Eyak-Tlingit","EA082",4,"Conical",1860,"Lynx Point band, Fort Simpson",""
